imgID_id,filePath,GLS,NCLB,PLS,CR,SR,NoFoliarSymptoms,Other,UnidentifiedDisease
186,2019-03-13--Cedara-(DKB)-DSC_0310.JPG,0,0,0,1,0,0,0,0
2164,20200309_093834.jpg,0,0,0,0,0,0,0,1
427,IMG_20190316_075333.jpg,0,0,1,0,0,0,0,0
622,20190313_152602.jpg,0,0,0,0,0,0,1,1
613,20190313_144246.jpg,1,0,0,1,0,0,0,0
1970,20200309_091603.jpg,0,0,0,0,0,0,0,1
1200,140_CIMG3876_1-349-1.JPG,1,0,0,0,0,0,0,0
2250,20200309_092955(0).jpg,1,0,0,0,0,0,0,0
64,2019-03-13--Cedara-(DKB)-DSC_0127.JPG,1,0,0,0,0,0,0,0
1529,2012_03_DSC1781_maize_diverse-C-AC-DK-273.JPG,1,0,0,0,0,0,1,0
697,20190313_115210.jpg,1,0,0,0,0,0,0,0
1699,2012_03_IMG_6518_maize_diverse JM-R-Pn.JPG,0,1,1,1,0,0,0,0
818,IMG_20190316_091209.jpg,0,0,0,1,0,0,0,0
2017,20200309_090111.jpg,1,1,0,0,0,0,0,0
877,IMG_20190316_074305.jpg,0,0,1,0,1,0,1,0
1346,IMG_3790.JPG,1,0,0,0,0,0,0,0
2059,20200309_090800.jpg,1,0,0,0,0,0,0,0
2190,20200309_103547.jpg,1,0,0,0,0,0,1,0
1737,2012_03_IMG_6310_maize_diverse JM-C-Ac.JPG,0,0,0,0,0,0,0,1
281,2019-03-13--Cedara-(DKB)-DSC_0106.JPG,0,0,0,0,0,0,1,0
2052,20200309_093007.jpg,0,0,1,0,0,0,0,0
1548,2012_03_DSC2005_maize_diverse-R-Pn-DK-28.JPG,0,0,1,0,0,0,1,1
2121,20200309_090837.jpg,0,0,1,0,0,0,0,0
1813,2012_03_IMG_6444_maize_diverse JM-R-Pn.JPG,0,0,0,0,0,0,0,1
1061,127_CIMG3863_1-7-1.JPG,0,0,0,0,0,0,0,1
2137,20200309_090314.jpg,1,0,1,0,0,0,0,0
318,IMG_20190316_083918.jpg,0,0,1,0,0,0,0,0
1283,IMG_3794.JPG,0,1,0,0,0,0,0,0
2139,20200309_091421.jpg,0,1,1,0,0,0,0,0
755,20190313_142215.jpg,1,0,0,0,0,0,1,0
482,IMG_20190316_082647.jpg,0,0,1,0,0,0,0,0
2214,20200309_093037.jpg,0,0,0,0,0,1,0,0
417,IMG_20190316_074129.jpg,0,1,0,0,0,0,0,0
196,2019-03-13--Cedara-(DKB)-DSC_0149.JPG,0,0,0,0,0,1,0,0
1475,IMG_3719.JPG,0,1,0,0,0,0,0,0
1594,2012_03_DSC1937_maize_diverse-R-Pn-DK-28.JPG,1,0,1,0,0,0,0,0
1740,2012_03_IMG_6476_maize_diverse JM-R-Pn.JPG,0,0,0,0,0,0,0,1
655,20190313_120023.jpg,1,0,0,0,0,0,0,0
32,2019-03-13--Cedara-(DKB)-DSC_0042.JPG,1,0,0,1,0,0,0,0
2123,20200309_092625.jpg,0,0,1,0,0,0,0,0
22,2019-03-13--Cedara-(DKB)-DSC_0202.JPG,0,0,0,0,0,1,0,0
1564,2012_03_DSC1949_maize_diverse-R-Pn-DK-28.JPG,1,0,1,0,0,0,0,1
1057,180_CIMG3916_1-141-2.JPG,1,0,0,0,0,0,0,0
2213,20200309_093106.jpg,0,0,0,0,0,0,0,1
1979,20200309_093458.jpg,0,0,1,0,0,0,0,0
1247,IMG_3810.JPG,1,0,0,0,0,0,0,0
19,2019-03-13--Cedara-(DKB)-DSC_0169.JPG,1,0,1,1,0,0,0,0
1626,2012_03_DSC1732_maize_diverse-C-AC-DK-273.JPG,1,0,0,0,0,0,0,0
592,20190313_122031.jpg,0,0,0,0,0,1,0,0
25,2019-03-13--Cedara-(DKB)-DSC_0110.JPG,0,1,0,0,0,0,0,1
538,20190313_143628.jpg,0,1,1,0,0,0,0,0
255,2019-03-13--Cedara-(DKB)-DSC_0129.JPG,1,0,0,0,0,0,1,0
1747,2012_03_IMG_6491_maize_diverse JM-R-Pn.JPG,0,0,1,0,0,0,0,0
442,IMG_20190316_091526.jpg,0,1,0,1,1,0,0,0
944,IMG_20190316_074938.jpg,0,1,1,1,0,0,0,0
1491,IMG_20190227_112716.jpg,0,1,1,1,0,0,0,0
2118,20200309_093755.jpg,0,0,0,0,0,0,1,1
202,2019-03-13--Cedara-(DKB)-DSC_0255.JPG,0,0,0,1,0,0,1,0
310,IMG_20190316_091922.jpg,0,0,0,1,0,0,0,0
1589,2012_03_DSC1790_maize_diverse-C-AC-DK-273.JPG,1,0,0,0,0,0,0,0
906,IMG_20190316_083804.jpg,0,1,0,0,0,0,0,1
2235,20200309_092141.jpg,0,0,0,0,0,1,0,0
360,IMG_20190316_090816.jpg,0,1,0,0,0,0,0,0
43,2019-03-13--Cedara-(DKB)-DSC_0317.JPG,0,0,0,1,0,0,0,0
1683,2012_03_DSC1895_maize_diverse-R-Pn-DK-28.JPG,0,0,1,0,0,0,0,0
886,IMG_20190316_092302.jpg,0,1,1,0,0,0,0,0
1749,2012_03_IMG_6333_maize_diverse JM-C-Ac.JPG,0,0,0,0,0,1,0,0
1855,2012_03_IMG_6536_maize_diverse JM-R-Pn.JPG,0,0,0,0,0,0,0,1
1190,49_CIMG3784_1-70-2.JPG,1,0,0,0,0,0,0,0
199,2019-03-13--Cedara-(DKB)-DSC_0268.JPG,1,0,0,0,0,0,0,0
1233,IMG_3820.JPG,1,0,0,0,0,0,0,0
1055,133_CIMG3869_1-113-1.JPG,1,0,0,0,0,0,0,0
1158,20_CIMG3754_1-383-1.JPG,1,0,0,0,0,0,0,0
2061,20200309_092927.jpg,0,0,0,0,0,1,0,0
1591,2012_03_DSC2007_maize_diverse (1)-R-Pn-DK-28.JPG,0,0,0,0,0,1,0,0
2099,20200309_091530.jpg,0,0,1,0,0,0,0,1
1302,IMG_3645.JPG,0,0,1,1,0,0,0,0
1129,135_CIMG3871_1-113-2.JPG,1,0,0,0,0,0,0,0
1801,2012_03_IMG_6346_maize_diverse JM-C-Ac.JPG,1,0,0,0,0,0,1,1
226,2019-03-13--Cedara-(DKB)-DSC_0179.JPG,1,0,0,0,0,0,1,0
1242,IMG_3727.JPG,1,0,0,0,0,0,0,0
1660,2012_03_DSC1920_maize_diverse (1)-R-Pn-DK-28.JPG,0,0,0,0,0,1,0,0
326,IMG_20190316_084956.jpg,0,1,0,0,0,0,0,0
