imgID_id,filePath,GLS_true,NCLB_true,PLS_true,CR_true,SR_true,NoFoliarSymptoms_true,Other_true,UnidentifiedDisease_true,GLS_prob,NCLB_prob,PLS_prob,CR_prob,SR_prob,NoFoliarSymptoms_prob,Other_prob,UnidentifiedDisease_prob,GLS_pred,NCLB_pred,PLS_pred,CR_pred,SR_pred,NoFoliarSymptoms_pred,Other_pred,UnidentifiedDisease_pred,num_label_errors
1113,169_CIMG3905_1-284-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9363986,0.17539099,0.29488647,0.13552777,0.3696237,0.054324895,0.29150885,0.36590493,1,0,0,0,0,0,0,0,0.0
1017,185_CIMG3921_1-86-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833337,0.3647406,0.32202896,0.30357826,0.445802,0.19858198,0.32095876,0.33259657,1,0,0,0,0,0,0,0,0.0
175,2019-03-13--Cedara-(DKB)-DSC_0047.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5698104,0.48558888,0.37604547,0.30216512,0.43657964,0.47507182,0.41448092,0.3931358,1,0,0,0,0,0,0,0,0.0
1117,52_CIMG3787_1-8-1.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748908,0.31960222,0.2485689,0.18679307,0.3208077,0.3811065,0.28548527,0.34080696,1,0,0,0,0,0,0,0,0.0
1067,79_CIMG3814_1-381-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91897905,0.15652324,0.20189881,0.10167879,0.34024593,0.19561052,0.25916207,0.42359802,1,0,0,0,0,0,0,0,0.0
1830,2012_03_IMG_6345_maize_diverse JM-C-Ac.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5912245,0.41929182,0.46820134,0.27193797,0.25939906,0.36852437,0.4355159,0.3492381,1,0,0,0,0,0,0,0,0.0
1081,170_CIMG3906_1-138-1.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95666426,0.15100096,0.20980576,0.08285744,0.32424334,0.080971904,0.22809263,0.33281308,1,0,0,0,0,0,0,0,0.0
1673,2012_03_DSC1795_maize_diverse-C-AC-DK-273.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59054804,0.366952,0.40602124,0.3720057,0.47527066,0.31649402,0.32055554,0.4708849,1,0,0,0,0,0,0,0,0.0
1136,197_CIMG3933_1-33-1.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9002114,0.21538787,0.23588966,0.13408986,0.30730817,0.1346339,0.27103835,0.39247924,1,0,0,0,0,0,0,0,0.0
1167,120_CIMG3856_1-110-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88482684,0.19042447,0.28903332,0.17153586,0.46187067,0.15993372,0.23861924,0.39784613,1,0,0,0,0,0,0,0,0.0
