,precision,recall,f1-score,support
GLS,0.616580310880829,0.672316384180791,0.6432432432432432,177.0
NCLB,0.35374149659863946,0.5531914893617021,0.4315352697095436,94.0
PLS,0.25,0.6142857142857143,0.35537190082644626,70.0
CR,0.26,0.6341463414634146,0.36879432624113473,41.0
SR,0.010101010101010102,0.25,0.019417475728155338,4.0
NoFoliarSymptoms,0.20952380952380953,0.5641025641025641,0.3055555555555556,39.0
Other,0.1796875,0.46938775510204084,0.2598870056497175,49.0
UnidentifiedDisease,0.20103092783505155,0.8125,0.32231404958677684,48.0
micro avg,0.28558875219683655,0.6226053639846744,0.39156626506024095,522.0
macro avg,0.26008313186741744,0.5712412810620284,0.3382648533175716,522.0
weighted avg,0.3778015715595669,0.6226053639846744,0.44945372426641694,522.0
samples avg,0.3450161420500404,0.652542372881356,0.42177607389471794,522.0
