imgID_id,filePath,GLS_true,NCLB_true,PLS_true,CR_true,SR_true,NoFoliarSymptoms_true,Other_true,UnidentifiedDisease_true,GLS_prob,NCLB_prob,PLS_prob,CR_prob,SR_prob,NoFoliarSymptoms_prob,Other_prob,UnidentifiedDisease_prob,GLS_pred,NCLB_pred,PLS_pred,CR_pred,SR_pred,NoFoliarSymptoms_pred,Other_pred,UnidentifiedDisease_pred,num_label_errors
2215,20200309_093452.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21088536,0.6421023,0.5111583,0.55684733,0.5769315,0.5864592,0.44656578,0.5272945,0,1,1,1,1,1,0,1,7.0
2188,20200309_090732.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32440504,0.5724576,0.5656456,0.5177481,0.63283753,0.5184706,0.379515,0.51852536,0,1,1,1,1,1,0,1,7.0
2230,20200309_093824.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2636148,0.608626,0.5143973,0.49584603,0.5707775,0.5345103,0.49493927,0.5455723,0,1,1,0,1,1,0,1,7.0
927,IMG_20190316_080741.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.35054904,0.5319377,0.5876372,0.527597,0.63188404,0.36349928,0.40945932,0.5338122,0,1,1,1,1,0,0,1,7.0
2101,20200309_093415(0).jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.22107223,0.6297398,0.57373846,0.6654988,0.6749038,0.3475452,0.52189624,0.46882778,0,1,1,1,1,0,1,0,7.0
2287,IMG_20200302_112239.jpg,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.30648574,0.6434629,0.5043767,0.596036,0.59828746,0.50186485,0.4040314,0.52361006,0,1,1,1,1,1,0,1,7.0
2194,20200309_092755.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29730332,0.5747805,0.48500037,0.4636214,0.5199078,0.6649286,0.34510043,0.53193367,0,1,0,0,1,1,0,1,6.0
657,20190313_152250.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28020203,0.5018404,0.32610202,0.3601385,0.6000428,0.8090776,0.51551646,0.5485316,0,1,0,0,1,1,1,1,6.0
212,2019-03-13--Cedara-(DKB)-DSC_0252.JPG,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.32812953,0.4730664,0.23298639,0.27381033,0.5120742,0.84352875,0.49758014,0.5369171,0,0,0,0,1,1,0,1,6.0
2168,20200309_093416.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23865199,0.6072673,0.50878376,0.5659747,0.560589,0.5508536,0.4219822,0.5296974,0,1,1,1,1,1,0,1,6.0
