imgID_id,filePath,GLS_true,NCLB_true,PLS_true,CR_true,SR_true,NoFoliarSymptoms_true,Other_true,UnidentifiedDisease_true,GLS_prob,NCLB_prob,PLS_prob,CR_prob,SR_prob,NoFoliarSymptoms_prob,Other_prob,UnidentifiedDisease_prob,GLS_pred,NCLB_pred,PLS_pred,CR_pred,SR_pred,NoFoliarSymptoms_pred,Other_pred,UnidentifiedDisease_pred,num_label_errors
1113,169_CIMG3905_1-284-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98880625,0.2407024,0.12940519,0.030098103,0.046490464,0.019195635,0.10048631,0.11733695,1,0,0,0,0,0,0,0,0.0
1017,185_CIMG3921_1-86-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94121134,0.23751424,0.10648654,0.054067377,0.16399129,0.0965165,0.2933116,0.12395693,1,0,0,0,0,0,0,0,0.0
1786,2012_03_IMG_6322_maize_diverse JM-C-Ac.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927292,0.17006801,0.35960788,0.16512258,0.09712679,0.086294256,0.24853691,0.23341297,1,0,0,0,0,0,0,0,0.0
1016,126_CIMG3862_1-164-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947951,0.20225717,0.077067316,0.031406302,0.08660023,0.11437971,0.109384485,0.19064015,1,0,0,0,0,0,0,0,0.0
1662,2012_03_DSC1989_maize_diverse-R-Pn-DK-28.JPG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18961585,0.12534025,0.9205386,0.30159512,0.3620134,0.19090472,0.41912642,0.45748022,0,0,1,0,0,0,0,0,0.0
486,IMG_20190316_093943.jpg,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.24378473,0.9705274,0.29428917,0.7192321,0.08058733,0.027074479,0.38391325,0.21232559,0,1,0,1,0,0,0,0,0.0
744,20190313_142559.jpg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.49626514,0.13424729,0.13772388,0.2074761,0.48025948,0.89086616,0.86168545,0.17246754,0,0,0,0,0,1,1,0,0.0
706,20190313_142548.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.34205577,0.78910893,0.19466446,0.120202236,0.4245418,0.3551482,0.9219008,0.09445896,0,1,0,0,0,0,1,0,0.0
1847,2012_03_IMG_6475_maize_diverse JM-R-Pn.JPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27298927,0.0616114,0.22297451,0.07571315,0.036887333,0.25209728,0.2099971,0.9470916,0,0,0,0,0,0,0,1,0.0
1758,2012_03_IMG_6277_maize_diverse JM-C-Ac.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98191845,0.15482135,0.16339202,0.051550645,0.07410268,0.059151232,0.08536989,0.110015325,1,0,0,0,0,0,0,0,0.0
