,precision,recall,f1-score,support
GLS,0.8731343283582089,0.6610169491525424,0.752411575562701,177.0
NCLB,0.7431192660550459,0.8617021276595744,0.7980295566502463,94.0
PLS,0.5,0.6428571428571429,0.5625,70.0
CR,0.38823529411764707,0.8048780487804879,0.5238095238095238,41.0
SR,0.07692307692307693,0.5,0.13333333333333333,4.0
NoFoliarSymptoms,0.38636363636363635,0.8717948717948718,0.5354330708661418,39.0
Other,0.2403846153846154,0.5102040816326531,0.32679738562091504,49.0
UnidentifiedDisease,0.2413793103448276,0.5833333333333334,0.34146341463414637,48.0
micro avg,0.4853723404255319,0.6992337164750958,0.5729984301412873,522.0
macro avg,0.4311924409433822,0.6794733194013258,0.49672223255962594,522.0
weighted avg,0.6016409221526299,0.6992337164750958,0.6185083459212422,522.0
samples avg,0.5621468926553672,0.7436440677966102,0.60575733118106,522.0
