imgID_id,filePath,GLS_true,NCLB_true,PLS_true,CR_true,SR_true,NoFoliarSymptoms_true,Other_true,UnidentifiedDisease_true,GLS_prob,NCLB_prob,PLS_prob,CR_prob,SR_prob,NoFoliarSymptoms_prob,Other_prob,UnidentifiedDisease_prob,GLS_pred,NCLB_pred,PLS_pred,CR_pred,SR_pred,NoFoliarSymptoms_pred,Other_pred,UnidentifiedDisease_pred,num_label_errors
2212,20200309_091614.jpg,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4281244,0.20397246,0.3551836,0.17386922,0.247233,0.72054076,0.55175173,0.56951165,0,0,0,0,0,1,1,1,5.0
280,2019-03-13--Cedara-(DKB)-DSC_0039.JPG,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3218001,0.43040565,0.36803052,0.62616664,0.5349352,0.3137213,0.62938064,0.2696685,0,0,0,1,1,0,1,0,5.0
2158,20200309_091807.jpg,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5104215,0.059556525,0.17950752,0.07075378,0.031792525,0.78895545,0.6990854,0.15532912,1,0,0,0,0,1,1,0,5.0
2073,20200309_093829.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.44342867,0.8594823,0.17975022,0.20615533,0.6468822,0.08059173,0.66181767,0.42751053,0,1,0,0,1,0,1,0,4.0
926,IMG_20190316_074920.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.016200949,0.64123094,0.83240324,0.9658644,0.66923857,0.018744672,0.4281028,0.18542056,0,1,1,1,1,0,0,0,4.0
2230,20200309_093824.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.290353,0.66069394,0.420638,0.620747,0.8219046,0.14816429,0.6956217,0.38305888,0,1,0,1,1,0,1,0,4.0
58,2019-03-13--Cedara-(DKB)-DSC_0233.JPG,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.36722258,0.24714153,0.19284095,0.80644625,0.99524385,0.019750703,0.80821365,0.0224231,0,0,0,1,1,0,1,0,4.0
529,20190313_142107.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2513014,0.16555029,0.8907791,0.58347905,0.6563116,0.37505522,0.6470381,0.31866673,0,0,1,1,1,0,1,0,4.0
1321,IMG_3658.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4863868,0.6632997,0.56119245,0.640863,0.42413592,0.033284903,0.33542642,0.29732797,0,1,1,1,0,0,0,0,4.0
2140,20200309_103546.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4352382,0.14889197,0.18456154,0.2278507,0.19279064,0.66856176,0.55211794,0.49203312,0,0,0,0,0,1,1,0,4.0
