imgID_id,filePath,GLS_true,NCLB_true,PLS_true,CR_true,SR_true,NoFoliarSymptoms_true,Other_true,UnidentifiedDisease_true,GLS_prob,NCLB_prob,PLS_prob,CR_prob,SR_prob,NoFoliarSymptoms_prob,Other_prob,UnidentifiedDisease_prob,GLS_pred,NCLB_pred,PLS_pred,CR_pred,SR_pred,NoFoliarSymptoms_pred,Other_pred,UnidentifiedDisease_pred,num_label_errors
1113,169_CIMG3905_1-284-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982521,0.26760516,0.12045988,0.029724043,0.03169873,0.01547146,0.15693624,0.06164426,1,0,0,0,0,0,0,0,0.0
1017,185_CIMG3921_1-86-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9401851,0.19380626,0.08320448,0.031493727,0.053135272,0.08540991,0.1420207,0.084298275,1,0,0,0,0,0,0,0,0.0
1821,2012_03_IMG_6309_maize_diverse JM-C-Ac.JPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46043086,0.17526983,0.49960917,0.35198694,0.47133663,0.33194572,0.441312,0.6539149,0,0,0,0,0,0,0,1,0.0
1786,2012_03_IMG_6322_maize_diverse JM-C-Ac.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9698193,0.2725826,0.16331717,0.045269,0.020837208,0.033958547,0.22147532,0.09709483,1,0,0,0,0,0,0,0,0.0
1016,126_CIMG3862_1-164-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9275286,0.28138843,0.07191594,0.020954633,0.035478204,0.110948205,0.14881814,0.1851557,1,0,0,0,0,0,0,0,0.0
556,20190313_120353.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20107053,0.13315555,0.15894797,0.14512275,0.14185463,0.9183478,0.3441077,0.47642818,0,0,0,0,0,1,0,0,0.0
486,IMG_20190316_093943.jpg,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28796664,0.9399208,0.35504606,0.67712766,0.31598803,0.068169445,0.38694286,0.32539606,0,1,0,1,0,0,0,0,0.0
1847,2012_03_IMG_6475_maize_diverse JM-R-Pn.JPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3031013,0.086506106,0.40997615,0.05631418,0.065736,0.28327027,0.37976825,0.9675523,0,0,0,0,0,0,0,1,0.0
1758,2012_03_IMG_6277_maize_diverse JM-C-Ac.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9920893,0.19219263,0.32028916,0.052887034,0.031244688,0.012634361,0.18329999,0.04644669,1,0,0,0,0,0,0,0,0.0
1078,62_CIMG3797_1-25-1.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91175073,0.27208084,0.18072808,0.07845863,0.13733281,0.06453078,0.21320775,0.24039167,1,0,0,0,0,0,0,0,0.0
