,precision,recall,f1-score,support
GLS,0.8266666666666667,0.7005649717514124,0.7584097859327217,177.0
NCLB,0.6356589147286822,0.8723404255319149,0.7354260089686099,94.0
PLS,0.4434782608695652,0.7285714285714285,0.5513513513513514,70.0
CR,0.425,0.8292682926829268,0.5619834710743802,41.0
SR,0.05172413793103448,0.75,0.0967741935483871,4.0
NoFoliarSymptoms,0.47058823529411764,0.8205128205128205,0.5981308411214953,39.0
Other,0.26717557251908397,0.7142857142857143,0.3888888888888889,49.0
UnidentifiedDisease,0.26548672566371684,0.625,0.37267080745341613,48.0
micro avg,0.46327014218009477,0.7490421455938697,0.5724743777452416,522.0
macro avg,0.4232223142091084,0.7550679566670272,0.5079544185424063,522.0
weighted avg,0.5726728349786474,0.7490421455938697,0.6238744209828289,522.0
samples avg,0.5462873284907184,0.7817796610169492,0.6067572415030043,522.0
