imgID_id,filePath,GLS_true,NCLB_true,PLS_true,CR_true,SR_true,NoFoliarSymptoms_true,Other_true,UnidentifiedDisease_true,GLS_prob,NCLB_prob,PLS_prob,CR_prob,SR_prob,NoFoliarSymptoms_prob,Other_prob,UnidentifiedDisease_prob,GLS_pred,NCLB_pred,PLS_pred,CR_pred,SR_pred,NoFoliarSymptoms_pred,Other_pred,UnidentifiedDisease_pred,num_label_errors
58,2019-03-13--Cedara-(DKB)-DSC_0233.JPG,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.22880639,0.49872226,0.7079286,0.6710079,0.98704046,0.01464973,0.93192106,0.2404486,0,0,1,1,1,0,1,0,5.0
2230,20200309_093824.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.31534734,0.6657091,0.59418035,0.73163944,0.6135095,0.1072527,0.64287007,0.43054077,0,1,1,1,1,0,1,0,5.0
1321,IMG_3658.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26202485,0.59006965,0.46878985,0.6441564,0.27849084,0.11745454,0.6279279,0.5454063,0,1,0,1,0,0,1,1,5.0
945,IMG_20190316_085923.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6001347,0.5982423,0.5027582,0.8141185,0.5410833,0.010234402,0.33715668,0.2554452,1,1,1,1,1,0,0,0,5.0
2101,20200309_093415(0).jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3381514,0.78362995,0.50147015,0.24426605,0.24184933,0.29248512,0.74608463,0.3224167,0,1,1,0,0,0,1,0,5.0
2146,20200309_102247.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.51611924,0.73246735,0.6225185,0.6005402,0.51955706,0.06861607,0.5297336,0.52515835,1,1,1,1,1,0,1,1,5.0
926,IMG_20190316_074920.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.042253226,0.7201973,0.6267499,0.98626804,0.8439874,0.0040101903,0.33258197,0.20374985,0,1,1,1,1,0,0,0,4.0
340,IMG_20190316_094248_1.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.17616603,0.14167647,0.62895256,0.8069816,0.74789906,0.07438541,0.6237739,0.58275664,0,0,1,1,1,0,1,1,4.0
2129,20200309_093051.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17655785,0.05897276,0.3980117,0.15032701,0.21742421,0.9146787,0.2888194,0.55233395,0,0,0,0,0,1,0,1,4.0
529,20190313_142107.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.24697714,0.23532587,0.7369152,0.6861871,0.8298937,0.3307057,0.6510522,0.40032688,0,0,1,1,1,0,1,0,4.0
