imgID_id,filePath,GLS_true,NCLB_true,PLS_true,CR_true,SR_true,NoFoliarSymptoms_true,Other_true,UnidentifiedDisease_true,GLS_prob,NCLB_prob,PLS_prob,CR_prob,SR_prob,NoFoliarSymptoms_prob,Other_prob,UnidentifiedDisease_prob,GLS_pred,NCLB_pred,PLS_pred,CR_pred,SR_pred,NoFoliarSymptoms_pred,Other_pred,UnidentifiedDisease_pred,num_label_errors
1918,2012_03_IMG_6533_maize_diverse JM-R-Pn.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83660114,0.2528694,0.43442008,0.25191692,0.4894625,0.046401706,0.24211235,0.37594864,1,0,0,0,0,0,0,0,0.0
1113,169_CIMG3905_1-284-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95326144,0.19571206,0.21817823,0.2646928,0.047014598,0.01885682,0.08423262,0.28094783,1,0,0,0,0,0,0,0,0.0
1017,185_CIMG3921_1-86-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91025025,0.24819583,0.1946897,0.39232656,0.06845523,0.084968306,0.18322712,0.17845957,1,0,0,0,0,0,0,0,0.0
1786,2012_03_IMG_6322_maize_diverse JM-C-Ac.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85648066,0.2751375,0.47856152,0.107313395,0.15222451,0.03925289,0.13981114,0.44082645,1,0,0,0,0,0,0,0,0.0
1016,126_CIMG3862_1-164-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96898466,0.1836817,0.034286067,0.038382143,0.020288423,0.062583774,0.07722669,0.2099947,1,0,0,0,0,0,0,0,0.0
1758,2012_03_IMG_6277_maize_diverse JM-C-Ac.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91952986,0.317638,0.48743623,0.079577826,0.15637092,0.03299912,0.0964149,0.33298963,1,0,0,0,0,0,0,0,0.0
1078,62_CIMG3797_1-25-1.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89554936,0.18643859,0.21004122,0.1314953,0.04368128,0.029459838,0.07477351,0.4055371,1,0,0,0,0,0,0,0,0.0
1117,52_CIMG3787_1-8-1.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9623541,0.21305886,0.1066415,0.12199289,0.044010144,0.020708686,0.11675185,0.39988178,1,0,0,0,0,0,0,0,0.0
1067,79_CIMG3814_1-381-2.JPG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9292781,0.17678326,0.19667651,0.1325797,0.2530424,0.038399685,0.1202874,0.3282825,1,0,0,0,0,0,0,0,0.0
1413,IMG_3753.JPG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35682386,0.11524296,0.13716708,0.41724885,0.2674368,0.85444736,0.27280876,0.4791737,0,0,0,0,0,1,0,0,0.0
