,precision,recall,f1-score,support
GLS,0.6572769953051644,0.7909604519774012,0.717948717948718,177.0
NCLB,0.49635036496350365,0.723404255319149,0.5887445887445888,94.0
PLS,0.36065573770491804,0.6285714285714286,0.4583333333333333,70.0
CR,0.3017241379310345,0.8536585365853658,0.445859872611465,41.0
SR,0.030303030303030304,0.75,0.05825242718446602,4.0
NoFoliarSymptoms,0.3787878787878788,0.6410256410256411,0.47619047619047616,39.0
Other,0.25806451612903225,0.6530612244897959,0.3699421965317919,49.0
UnidentifiedDisease,0.21621621621621623,0.8333333333333334,0.34334763948497854,48.0
micro avg,0.3644067796610169,0.7413793103448276,0.48863636363636365,522.0
macro avg,0.33742235966759726,0.7342518589127643,0.43232740650372725,522.0
weighted avg,0.4569521701776637,0.7413793103448276,0.5482658910628755,522.0
samples avg,0.4288135593220339,0.7674199623352165,0.5151668011837504,522.0
