imgID_id,filePath,GLS_true,NCLB_true,PLS_true,CR_true,SR_true,NoFoliarSymptoms_true,Other_true,UnidentifiedDisease_true,GLS_prob,NCLB_prob,PLS_prob,CR_prob,SR_prob,NoFoliarSymptoms_prob,Other_prob,UnidentifiedDisease_prob,GLS_pred,NCLB_pred,PLS_pred,CR_pred,SR_pred,NoFoliarSymptoms_pred,Other_pred,UnidentifiedDisease_pred,num_label_errors
160,2019-03-13--Cedara-(DKB)-DSC_0298.JPG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.40753853,0.24104054,0.24877697,0.510039,0.5191894,0.72103745,0.60062385,0.5300938,0,0,0,1,1,1,1,1,6.0
2366,IMG_20200302_111634.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59534764,0.4123746,0.37238082,0.5098026,0.7469187,0.2593055,0.6572276,0.7093203,1,0,0,1,1,0,1,1,6.0
212,2019-03-13--Cedara-(DKB)-DSC_0252.JPG,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.35653883,0.35918665,0.26014414,0.17248137,0.7082126,0.7957704,0.550072,0.48405358,0,0,0,0,1,1,1,0,6.0
2129,20200309_093051.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49439922,0.19057783,0.23169166,0.15016447,0.50117457,0.8940922,0.6345063,0.7332394,0,0,0,0,1,1,1,1,6.0
628,20190313_114529.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4772839,0.6140595,0.5534749,0.85209876,0.549332,0.033460546,0.70804715,0.5804971,0,1,1,1,1,0,1,1,6.0
2101,20200309_093415(0).jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.38374093,0.66781926,0.5257678,0.4767436,0.13096923,0.263726,0.530024,0.22771102,0,1,1,0,0,0,1,0,5.0
2230,20200309_093824.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.54723674,0.47811195,0.57029885,0.46718398,0.6318434,0.30947927,0.5240902,0.569196,1,0,1,0,1,0,1,1,5.0
2142,20200309_092857.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4741093,0.4624963,0.46820867,0.23262665,0.36795542,0.61189276,0.63525313,0.5732605,0,0,0,0,0,1,1,1,5.0
180,2019-03-13--Cedara-(DKB)-DSC_0291.JPG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5841852,0.46219936,0.32948804,0.56828237,0.49138653,0.28941074,0.7070109,0.5136805,1,0,0,1,0,0,1,1,5.0
879,IMG_20190316_085007.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20153333,0.84460044,0.5037124,0.828405,0.2531064,0.4438215,0.41027555,0.6623713,0,1,1,1,0,0,0,1,5.0
