,precision,recall,f1-score,support
GLS,0.71875,0.519774011299435,0.6032786885245902,177.0
NCLB,0.3942857142857143,0.7340425531914894,0.5130111524163569,94.0
PLS,0.2848101265822785,0.6428571428571429,0.39473684210526316,70.0
CR,0.2109375,0.6585365853658537,0.31952662721893493,41.0
SR,0.014150943396226415,0.75,0.027777777777777776,4.0
NoFoliarSymptoms,0.18115942028985507,0.6410256410256411,0.2824858757062147,39.0
Other,0.17391304347826086,0.08163265306122448,0.1111111111111111,49.0
UnidentifiedDisease,0.21774193548387097,0.5625,0.313953488372093,48.0
micro avg,0.26887661141804786,0.5593869731800766,0.36318407960199006,522.0
macro avg,0.2744685854395258,0.5737960733500983,0.3207351954040427,522.0
weighted avg,0.41946729253288595,0.5593869731800766,0.43558969158868427,522.0
samples avg,0.31939736346516007,0.6031073446327684,0.3926508833288495,522.0
