,precision,recall,f1-score,support
GLS,0.72,0.5084745762711864,0.5960264900662252,177.0
NCLB,0.3988439306358382,0.7340425531914894,0.5168539325842697,94.0
PLS,0.2751677852348993,0.5857142857142857,0.3744292237442922,70.0
CR,0.216,0.6585365853658537,0.3253012048192771,41.0
SR,0.014634146341463415,0.75,0.028708133971291867,4.0
NoFoliarSymptoms,0.1780821917808219,0.6666666666666666,0.2810810810810811,39.0
Other,0.16,0.08163265306122448,0.10810810810810811,49.0
UnidentifiedDisease,0.2196969696969697,0.6041666666666666,0.32222222222222224,48.0
micro avg,0.2675925925925926,0.553639846743295,0.36079900124843944,522.0
macro avg,0.27280312796124906,0.5736542483671716,0.3190912995745959,522.0
weighted avg,0.41846412079786244,0.553639846743295,0.43193354813476115,522.0
samples avg,0.3182674199623352,0.597457627118644,0.39051654560129134,522.0
