,precision,recall,f1-score,support
GLS,0.7636363636363637,0.4745762711864407,0.5853658536585366,177.0
NCLB,0.39215686274509803,0.6382978723404256,0.48582995951417,94.0
PLS,0.25471698113207547,0.7714285714285715,0.3829787234042553,70.0
CR,0.16666666666666666,0.7560975609756098,0.27312775330396477,41.0
SR,0.014545454545454545,1.0,0.02867383512544803,4.0
NoFoliarSymptoms,0.21176470588235294,0.46153846153846156,0.2903225806451613,39.0
Other,0.4,0.04081632653061224,0.07407407407407407,49.0
UnidentifiedDisease,0.25925925925925924,0.14583333333333334,0.18666666666666668,48.0
micro avg,0.24691358024691357,0.49808429118773945,0.33015873015873015,522.0
macro avg,0.3078432867334088,0.5360735496666819,0.28837993079903457,522.0
weighted avg,0.4541213664105215,0.49808429118773945,0.4048111617451075,522.0
samples avg,0.2740583804143126,0.533662900188324,0.342984934086629,522.0
