,precision,recall,f1-score,support
GLS,0.8026315789473685,0.3446327683615819,0.48221343873517786,177.0
NCLB,0.31679389312977096,0.8829787234042553,0.46629213483146065,94.0
PLS,0.3333333333333333,0.38571428571428573,0.3576158940397351,70.0
CR,0.2288135593220339,0.6585365853658537,0.33962264150943394,41.0
SR,0.010309278350515464,0.25,0.019801980198019802,4.0
NoFoliarSymptoms,0.16019417475728157,0.8461538461538461,0.2693877551020408,39.0
Other,0.10606060606060606,0.14285714285714285,0.12173913043478261,49.0
UnidentifiedDisease,0.15953307392996108,0.8541666666666666,0.26885245901639343,48.0
micro avg,0.2407566638005159,0.5363984674329502,0.3323442136498516,522.0
macro avg,0.2647086872288589,0.5456300023154541,0.29069067923338054,522.0
weighted avg,0.428548796681922,0.5363984674329502,0.3785370613195689,522.0
samples avg,0.2832660747914985,0.5529661016949152,0.34810555107165275,522.0
