,precision,recall,f1-score,support
GLS,0.7131782945736435,0.519774011299435,0.6013071895424836,177.0
NCLB,0.3942857142857143,0.7340425531914894,0.5130111524163569,94.0
PLS,0.2857142857142857,0.6571428571428571,0.39826839826839827,70.0
CR,0.21705426356589147,0.6829268292682927,0.32941176470588235,41.0
SR,0.014084507042253521,0.75,0.027649769585253458,4.0
NoFoliarSymptoms,0.17518248175182483,0.6153846153846154,0.2727272727272727,39.0
Other,0.17391304347826086,0.08163265306122448,0.1111111111111111,49.0
UnidentifiedDisease,0.22131147540983606,0.5625,0.3176470588235294,48.0
micro avg,0.26905417814508725,0.5613026819923371,0.3637492240844196,522.0
macro avg,0.2743405082277138,0.5754254399184893,0.32139171464753596,522.0
weighted avg,0.4180608905271852,0.5613026819923371,0.435780760709894,522.0
samples avg,0.31666666666666665,0.6019303201506591,0.3905389651152363,522.0
