,precision,recall,f1-score,support
GLS,0.717741935483871,0.5028248587570622,0.5913621262458472,177.0
NCLB,0.3632286995515695,0.8617021276595744,0.5110410094637224,94.0
PLS,0.2777777777777778,0.7142857142857143,0.4,70.0
CR,0.20689655172413793,0.7317073170731707,0.3225806451612903,41.0
SR,0.014218009478672985,0.75,0.027906976744186046,4.0
NoFoliarSymptoms,0.16666666666666666,0.48717948717948717,0.24836601307189543,39.0
Other,0.2222222222222222,0.04081632653061224,0.06896551724137931,49.0
UnidentifiedDisease,0.2318840579710145,0.3333333333333333,0.27350427350427353,48.0
micro avg,0.26976744186046514,0.5555555555555556,0.36318096430807767,522.0
macro avg,0.27507949010949156,0.5527311456023692,0.3054658201790743,522.0
weighted avg,0.41702532397133923,0.5555555555555556,0.42191604516576847,522.0
samples avg,0.307909604519774,0.5875706214689266,0.3819612590799031,522.0
