,precision,recall,f1-score,support
GLS,0.6835443037974683,0.6101694915254238,0.6447761194029851,177.0
NCLB,0.38613861386138615,0.4148936170212766,0.4,94.0
PLS,0.3229166666666667,0.44285714285714284,0.37349397590361444,70.0
CR,0.2682926829268293,0.5365853658536586,0.35772357723577236,41.0
SR,0.011627906976744186,0.5,0.022727272727272728,4.0
NoFoliarSymptoms,0.1781609195402299,0.7948717948717948,0.29107981220657275,39.0
Other,0.16,0.08163265306122448,0.10810810810810811,49.0
UnidentifiedDisease,0.18834080717488788,0.875,0.30996309963099633,48.0
micro avg,0.27061105722599416,0.5344827586206896,0.35930457179652286,522.0
macro avg,0.2748777376180266,0.5320012581488152,0.3134839956519152,522.0
weighted avg,0.4114246827129491,0.5344827586206896,0.4294160267448248,522.0
samples avg,0.3126177024482109,0.5965160075329567,0.38592727109676256,522.0
