,precision,recall,f1-score,support
GLS,0.7310924369747899,0.4915254237288136,0.5878378378378378,177.0
NCLB,0.36683417085427134,0.776595744680851,0.49829351535836175,94.0
PLS,0.27450980392156865,0.6,0.37668161434977576,70.0
CR,0.20625,0.8048780487804879,0.3283582089552239,41.0
SR,0.017167381974248927,1.0,0.03375527426160337,4.0
NoFoliarSymptoms,0.16535433070866143,0.5384615384615384,0.25301204819277107,39.0
Other,0.1875,0.061224489795918366,0.09230769230769231,49.0
UnidentifiedDisease,0.21,0.4375,0.28378378378378377,48.0
micro avg,0.2565492321589883,0.5440613026819924,0.34868017188459177,522.0
macro avg,0.2698385155541925,0.5887731556809511,0.3067537468808812,522.0
weighted avg,0.4163653220400074,0.5440613026819924,0.4192806069614843,522.0
samples avg,0.28865348399246704,0.5755649717514124,0.3623284907183212,522.0
