,precision,recall,f1-score,support
GLS,0.7542372881355932,0.5028248587570622,0.6033898305084746,177.0
NCLB,0.37185929648241206,0.7872340425531915,0.5051194539249146,94.0
PLS,0.2846715328467153,0.5571428571428572,0.37681159420289856,70.0
CR,0.1956521739130435,0.6585365853658537,0.3016759776536313,41.0
SR,0.014492753623188406,0.75,0.02843601895734597,4.0
NoFoliarSymptoms,0.17857142857142858,0.6410256410256411,0.27932960893854747,39.0
Other,0.14285714285714285,0.04081632653061224,0.06349206349206349,49.0
UnidentifiedDisease,0.21238938053097345,0.5,0.2981366459627329,48.0
micro avg,0.2654784240150094,0.5421455938697318,0.35642317380352645,522.0
macro avg,0.2693413746200622,0.5546975389219022,0.30704889920507616,522.0
weighted avg,0.4226445733588444,0.5421455938697318,0.4242452572580437,522.0
samples avg,0.32142184557438797,0.5816854990583805,0.38788001076136674,522.0
