,precision,recall,f1-score,support
GLS,0.8863636363636364,0.6610169491525424,0.7572815533980582,177.0
NCLB,0.7407407407407407,0.851063829787234,0.7920792079207921,94.0
PLS,0.5,0.6428571428571429,0.5625,70.0
CR,0.38823529411764707,0.8048780487804879,0.5238095238095238,41.0
SR,0.07692307692307693,0.5,0.13333333333333333,4.0
NoFoliarSymptoms,0.39325842696629215,0.8974358974358975,0.546875,39.0
Other,0.24528301886792453,0.5306122448979592,0.33548387096774196,49.0
UnidentifiedDisease,0.24369747899159663,0.6041666666666666,0.3473053892215569,48.0
micro avg,0.4860927152317881,0.7030651340996169,0.5747846515270164,522.0
macro avg,0.4343127091213643,0.6865038474472414,0.4998334848313758,522.0
weighted avg,0.6068865099622978,0.7030651340996169,0.6212955893976795,522.0
samples avg,0.565442561205273,0.7478813559322034,0.6092413236481034,522.0
