,precision,recall,f1-score,support
GLS,0.8931297709923665,0.6610169491525424,0.7597402597402597,177.0
NCLB,0.7333333333333333,0.8191489361702128,0.7738693467336684,94.0
PLS,0.5057471264367817,0.6285714285714286,0.5605095541401274,70.0
CR,0.4024390243902439,0.8048780487804879,0.5365853658536586,41.0
SR,0.07142857142857142,0.5,0.125,4.0
NoFoliarSymptoms,0.38461538461538464,0.8974358974358975,0.5384615384615384,39.0
Other,0.25925925925925924,0.5714285714285714,0.35668789808917195,49.0
UnidentifiedDisease,0.2457627118644068,0.6041666666666666,0.3493975903614458,48.0
micro avg,0.4866666666666667,0.6992337164750958,0.5738993710691824,522.0
macro avg,0.4369643977900435,0.685830812275726,0.5000314441724838,522.0
weighted avg,0.6105471835411235,0.6992337164750958,0.6210770204990778,522.0
samples avg,0.567608286252354,0.7431732580037664,0.608662900188324,522.0
