,precision,recall,f1-score,support
GLS,0.9112903225806451,0.6384180790960452,0.7508305647840532,177.0
NCLB,0.7169811320754716,0.8085106382978723,0.76,94.0
PLS,0.5227272727272727,0.6571428571428571,0.5822784810126582,70.0
CR,0.40963855421686746,0.8292682926829268,0.5483870967741935,41.0
SR,0.08333333333333333,0.5,0.14285714285714285,4.0
NoFoliarSymptoms,0.3763440860215054,0.8974358974358975,0.5303030303030303,39.0
Other,0.25688073394495414,0.5714285714285714,0.35443037974683544,49.0
UnidentifiedDisease,0.24242424242424243,0.6666666666666666,0.35555555555555557,48.0
micro avg,0.48221343873517786,0.7011494252873564,0.5714285714285714,522.0
macro avg,0.43995245966553653,0.6961088753438547,0.5030802813791836,522.0
weighted avg,0.6155459302940759,0.7011494252873564,0.6192861621320187,522.0
samples avg,0.5522128060263654,0.7469397363465159,0.601257734732311,522.0
