,precision,recall,f1-score,support
GLS,0.8133333333333334,0.6892655367231638,0.746177370030581,177.0
NCLB,0.7708333333333334,0.7872340425531915,0.7789473684210526,94.0
PLS,0.5657894736842105,0.6142857142857143,0.589041095890411,70.0
CR,0.3780487804878049,0.7560975609756098,0.5040650406504065,41.0
SR,0.058823529411764705,0.5,0.10526315789473684,4.0
NoFoliarSymptoms,0.358695652173913,0.8461538461538461,0.5038167938931297,39.0
Other,0.2647058823529412,0.5510204081632653,0.3576158940397351,49.0
UnidentifiedDisease,0.27184466019417475,0.5833333333333334,0.3708609271523179,48.0
micro avg,0.4897959183673469,0.6896551724137931,0.5727923627684964,522.0
macro avg,0.43525933062143446,0.6659238052735156,0.4944734559965463,522.0
weighted avg,0.5972550823146978,0.6896551724137931,0.6179854433154339,522.0
samples avg,0.569774011299435,0.7328154425612051,0.608077750874361,522.0
