,precision,recall,f1-score,support
GLS,0.888,0.6271186440677966,0.7350993377483444,177.0
NCLB,0.7314814814814815,0.8404255319148937,0.7821782178217822,94.0
PLS,0.5057471264367817,0.6285714285714286,0.5605095541401274,70.0
CR,0.40963855421686746,0.8292682926829268,0.5483870967741935,41.0
SR,0.041666666666666664,0.25,0.07142857142857142,4.0
NoFoliarSymptoms,0.38636363636363635,0.8717948717948718,0.5354330708661418,39.0
Other,0.25925925925925924,0.5714285714285714,0.35668789808917195,49.0
UnidentifiedDisease,0.25217391304347825,0.6041666666666666,0.3558282208588957,48.0
micro avg,0.4878048780487805,0.6896551724137931,0.5714285714285714,522.0
macro avg,0.43429132968352135,0.6528467508908944,0.4931939959659035,522.0
weighted avg,0.6095318751865224,0.6896551724137931,0.6150995032018115,522.0
samples avg,0.5560734463276836,0.7295197740112994,0.597302932472424,522.0
