,precision,recall,f1-score,support
GLS,0.8116883116883117,0.7062146892655368,0.7552870090634441,177.0
NCLB,0.7425742574257426,0.7978723404255319,0.7692307692307693,94.0
PLS,0.5555555555555556,0.6428571428571429,0.5960264900662252,70.0
CR,0.4189189189189189,0.7560975609756098,0.5391304347826087,41.0
SR,0.07407407407407407,0.5,0.12903225806451613,4.0
NoFoliarSymptoms,0.3617021276595745,0.8717948717948718,0.5112781954887218,39.0
Other,0.24778761061946902,0.5714285714285714,0.345679012345679,49.0
UnidentifiedDisease,0.2641509433962264,0.5833333333333334,0.36363636363636365,48.0
micro avg,0.49066666666666664,0.7049808429118773,0.5786163522012578,522.0
macro avg,0.4345564749172341,0.6786998137600747,0.501162566584791,522.0
weighted avg,0.5914921329689811,0.7049808429118773,0.6219702888092846,522.0
samples avg,0.5720338983050848,0.7441148775894537,0.6131086898036051,522.0
