,precision,recall,f1-score,support
GLS,0.7721518987341772,0.6892655367231638,0.7283582089552239,177.0
NCLB,0.7428571428571429,0.8297872340425532,0.7839195979899497,94.0
PLS,0.524390243902439,0.6142857142857143,0.5657894736842105,70.0
CR,0.49230769230769234,0.7804878048780488,0.6037735849056604,41.0
SR,0.047619047619047616,0.25,0.08,4.0
NoFoliarSymptoms,0.4024390243902439,0.8461538461538461,0.5454545454545454,39.0
Other,0.25,0.4897959183673469,0.3310344827586207,49.0
UnidentifiedDisease,0.2727272727272727,0.5625,0.3673469387755102,48.0
micro avg,0.5084745762711864,0.6896551724137931,0.5853658536585366,522.0
macro avg,0.438061540317252,0.6327845068063341,0.500709604065465,522.0
weighted avg,0.5835591900285665,0.6896551724137931,0.617651140467971,522.0
samples avg,0.5870527306967985,0.7379943502824858,0.6201439332795265,522.0
