,precision,recall,f1-score,support
GLS,0.8175675675675675,0.6836158192090396,0.7446153846153846,177.0
NCLB,0.6972477064220184,0.8085106382978723,0.7487684729064039,94.0
PLS,0.4936708860759494,0.5571428571428572,0.5234899328859061,70.0
CR,0.39285714285714285,0.8048780487804879,0.528,41.0
SR,0.07142857142857142,0.5,0.125,4.0
NoFoliarSymptoms,0.40476190476190477,0.8717948717948718,0.5528455284552846,39.0
Other,0.2767857142857143,0.6326530612244898,0.38509316770186336,49.0
UnidentifiedDisease,0.2916666666666667,0.5833333333333334,0.3888888888888889,48.0
micro avg,0.4918918918918919,0.6973180076628352,0.5768621236133122,522.0
macro avg,0.43074827000819194,0.680241078722869,0.4995876719317164,522.0
weighted avg,0.5834267764693812,0.6973180076628352,0.6131621883638937,522.0
samples avg,0.5743879472693032,0.7474105461393598,0.614406779661017,522.0
