,precision,recall,f1-score,support
GLS,0.8231292517006803,0.6836158192090396,0.7469135802469136,177.0
NCLB,0.6384615384615384,0.8829787234042553,0.7410714285714286,94.0
PLS,0.4434782608695652,0.7285714285714285,0.5513513513513514,70.0
CR,0.425,0.8292682926829268,0.5619834710743802,41.0
SR,0.05263157894736842,0.75,0.09836065573770492,4.0
NoFoliarSymptoms,0.463768115942029,0.8205128205128205,0.5925925925925926,39.0
Other,0.26717557251908397,0.7142857142857143,0.3888888888888889,49.0
UnidentifiedDisease,0.26548672566371684,0.625,0.37267080745341613,48.0
micro avg,0.46199524940617576,0.7452107279693486,0.5703812316715543,522.0
macro avg,0.4223913805129978,0.7542790998332731,0.5067290969895846,522.0
weighted avg,0.5714754581419478,0.7452107279693486,0.6205912700104282,522.0
samples avg,0.5430790960451978,0.7784839924670435,0.603564702717245,522.0
