,precision,recall,f1-score,support
GLS,0.8275862068965517,0.6779661016949152,0.7453416149068323,177.0
NCLB,0.6384615384615384,0.8829787234042553,0.7410714285714286,94.0
PLS,0.4537037037037037,0.7,0.550561797752809,70.0
CR,0.4358974358974359,0.8292682926829268,0.5714285714285714,41.0
SR,0.05555555555555555,0.75,0.10344827586206896,4.0
NoFoliarSymptoms,0.4444444444444444,0.8205128205128205,0.5765765765765766,39.0
Other,0.2777777777777778,0.7142857142857143,0.4,49.0
UnidentifiedDisease,0.2608695652173913,0.625,0.36809815950920244,48.0
micro avg,0.46618357487922707,0.7394636015325671,0.5718518518518518,522.0
macro avg,0.4242870284942999,0.750001456572579,0.5070658030759361,522.0
weighted avg,0.5743632244525476,0.7394636015325671,0.6201591353292493,522.0
samples avg,0.5413841807909604,0.7742467043314502,0.6017218186709712,522.0
