,precision,recall,f1-score,support
GLS,0.825503355704698,0.6949152542372882,0.754601226993865,177.0
NCLB,0.6058394160583942,0.8829787234042553,0.7186147186147186,94.0
PLS,0.4811320754716981,0.7285714285714285,0.5795454545454546,70.0
CR,0.4857142857142857,0.8292682926829268,0.6126126126126126,41.0
SR,0.05128205128205128,0.5,0.09302325581395349,4.0
NoFoliarSymptoms,0.42857142857142855,0.7692307692307693,0.5504587155963303,39.0
Other,0.27350427350427353,0.6530612244897959,0.3855421686746988,49.0
UnidentifiedDisease,0.25862068965517243,0.625,0.36585365853658536,48.0
micro avg,0.47885572139303484,0.7375478927203065,0.5806938159879337,522.0
macro avg,0.42627094699525026,0.7103782115770579,0.5075314764235274,522.0
weighted avg,0.5735468323584229,0.7375478927203065,0.622781656071505,522.0
samples avg,0.545668549905838,0.7709510357815441,0.6057371536185095,522.0
