,precision,recall,f1-score,support
GLS,0.8116883116883117,0.7062146892655368,0.7552870090634441,177.0
NCLB,0.6328125,0.8617021276595744,0.7297297297297297,94.0
PLS,0.47115384615384615,0.7,0.5632183908045977,70.0
CR,0.3870967741935484,0.8780487804878049,0.5373134328358209,41.0
SR,0.031746031746031744,0.5,0.05970149253731343,4.0
NoFoliarSymptoms,0.47619047619047616,0.7692307692307693,0.5882352941176471,39.0
Other,0.26119402985074625,0.7142857142857143,0.3825136612021858,49.0
UnidentifiedDisease,0.2647058823529412,0.5625,0.36,48.0
micro avg,0.4577883472057075,0.7375478927203065,0.5649303008070433,522.0
macro avg,0.41707348152198775,0.7114977601161749,0.49699987628634235,522.0
weighted avg,0.5674477886122152,0.7375478927203065,0.6186564849445582,522.0
samples avg,0.544020715630885,0.769774011299435,0.6028719397363465,522.0
