,precision,recall,f1-score,support
GLS,0.8413793103448276,0.6892655367231638,0.7577639751552795,177.0
NCLB,0.6356589147286822,0.8723404255319149,0.7354260089686099,94.0
PLS,0.45132743362831856,0.7285714285714285,0.5573770491803278,70.0
CR,0.38202247191011235,0.8292682926829268,0.5230769230769231,41.0
SR,0.05263157894736842,0.75,0.09836065573770492,4.0
NoFoliarSymptoms,0.45454545454545453,0.7692307692307693,0.5714285714285714,39.0
Other,0.272,0.6938775510204082,0.39080459770114945,49.0
UnidentifiedDisease,0.25210084033613445,0.625,0.3592814371257485,48.0
micro avg,0.4578884934756821,0.7394636015325671,0.5655677655677656,522.0
macro avg,0.4177082505551123,0.7446942504700764,0.4991899022967893,522.0
weighted avg,0.5733688831360617,0.7394636015325671,0.6183733848895938,522.0
samples avg,0.5365348399246704,0.7733050847457628,0.599105461393597,522.0
