,precision,recall,f1-score,support
GLS,0.81875,0.7401129943502824,0.7774480712166172,177.0
NCLB,0.656,0.8723404255319149,0.7488584474885844,94.0
PLS,0.44545454545454544,0.7,0.5444444444444444,70.0
CR,0.4533333333333333,0.8292682926829268,0.5862068965517241,41.0
SR,0.0425531914893617,0.5,0.0784313725490196,4.0
NoFoliarSymptoms,0.4788732394366197,0.8717948717948718,0.6181818181818182,39.0
Other,0.27611940298507465,0.7551020408163265,0.40437158469945356,49.0
UnidentifiedDisease,0.2571428571428571,0.5625,0.35294117647058826,48.0
micro avg,0.4788391777509069,0.7586206896551724,0.5871015567086731,522.0
macro avg,0.428528321230224,0.7288898281470404,0.5138604764502812,522.0
weighted avg,0.5767628579340924,0.7586206896551724,0.6347218334466445,522.0
samples avg,0.5570621468926553,0.7959039548022598,0.620877051385526,522.0
