,precision,recall,f1-score,support
GLS,0.8194444444444444,0.6666666666666666,0.735202492211838,177.0
NCLB,0.7281553398058253,0.7978723404255319,0.7614213197969543,94.0
PLS,0.3795620437956204,0.7428571428571429,0.5024154589371981,70.0
CR,0.4266666666666667,0.7804878048780488,0.5517241379310345,41.0
SR,0.0625,0.75,0.11538461538461539,4.0
NoFoliarSymptoms,0.43243243243243246,0.8205128205128205,0.5663716814159292,39.0
Other,0.23776223776223776,0.6938775510204082,0.3541666666666667,49.0
UnidentifiedDisease,0.2265625,0.6041666666666666,0.32954545454545453,48.0
micro avg,0.44014084507042256,0.7183908045977011,0.5458515283842795,522.0
macro avg,0.4141357081134034,0.7320551241284108,0.4895289783612113,522.0
weighted avg,0.5693317232234779,0.7183908045977011,0.603863217403819,522.0
samples avg,0.4930790960451978,0.7530602636534839,0.5646825396825397,522.0
