,precision,recall,f1-score,support
GLS,0.8633093525179856,0.6779661016949152,0.759493670886076,177.0
NCLB,0.6756756756756757,0.7978723404255319,0.7317073170731707,94.0
PLS,0.4074074074074074,0.7857142857142857,0.5365853658536586,70.0
CR,0.4074074074074074,0.8048780487804879,0.5409836065573771,41.0
SR,0.047619047619047616,0.5,0.08695652173913043,4.0
NoFoliarSymptoms,0.42424242424242425,0.717948717948718,0.5333333333333333,39.0
Other,0.23308270676691728,0.6326530612244898,0.34065934065934067,49.0
UnidentifiedDisease,0.22058823529411764,0.625,0.32608695652173914,48.0
micro avg,0.44365361803084225,0.7164750957854407,0.547985347985348,522.0
macro avg,0.4099165321163728,0.6927540694735536,0.48197576407797826,522.0
weighted avg,0.5752618961552615,0.7164750957854407,0.6062154764801336,522.0
samples avg,0.5043785310734463,0.7492937853107344,0.5680656443368308,522.0
