,precision,recall,f1-score,support
GLS,0.6542056074766355,0.7909604519774012,0.7161125319693095,177.0
NCLB,0.49640287769784175,0.7340425531914894,0.592274678111588,94.0
PLS,0.36065573770491804,0.6285714285714286,0.4583333333333333,70.0
CR,0.3103448275862069,0.8780487804878049,0.4585987261146497,41.0
SR,0.03,0.75,0.057692307692307696,4.0
NoFoliarSymptoms,0.3787878787878788,0.6410256410256411,0.47619047619047616,39.0
Other,0.25806451612903225,0.6530612244897959,0.3699421965317919,49.0
UnidentifiedDisease,0.21621621621621623,0.8333333333333334,0.34334763948497854,48.0
micro avg,0.3649155722326454,0.7452107279693486,0.4899244332493703,522.0
macro avg,0.33808470769984117,0.7386304266346118,0.43406148617855433,522.0
weighted avg,0.45659496080223866,0.7452107279693486,0.5492752320548383,522.0
samples avg,0.430225988700565,0.7716572504708097,0.517050040355125,522.0
