,precision,recall,f1-score,support
GLS,0.6666666666666666,0.8022598870056498,0.7282051282051282,177.0
NCLB,0.5035971223021583,0.7446808510638298,0.6008583690987125,94.0
PLS,0.3548387096774194,0.6285714285714286,0.4536082474226804,70.0
CR,0.30434782608695654,0.8536585365853658,0.44871794871794873,41.0
SR,0.029411764705882353,0.75,0.05660377358490566,4.0
NoFoliarSymptoms,0.38235294117647056,0.6666666666666666,0.48598130841121495,39.0
Other,0.256,0.6530612244897959,0.367816091954023,49.0
UnidentifiedDisease,0.20967741935483872,0.8125,0.3333333333333333,48.0
micro avg,0.36473880597014924,0.7490421455938697,0.4905897114178168,522.0
macro avg,0.33836155624629904,0.738924824297842,0.43439052509099335,522.0
weighted avg,0.46033147114391876,0.7490421455938697,0.5531143337791846,522.0
samples avg,0.4285377993005111,0.7758945386064029,0.5178010940722805,522.0
