,precision,recall,f1-score,support
GLS,0.6451612903225806,0.7909604519774012,0.7106598984771574,177.0
NCLB,0.5109489051094891,0.7446808510638298,0.6060606060606061,94.0
PLS,0.39,0.5571428571428572,0.4588235294117647,70.0
CR,0.32075471698113206,0.8292682926829268,0.46258503401360546,41.0
SR,0.06382978723404255,0.75,0.11764705882352941,4.0
NoFoliarSymptoms,0.375,0.6923076923076923,0.4864864864864865,39.0
Other,0.29357798165137616,0.6530612244897959,0.4050632911392405,49.0
UnidentifiedDisease,0.20618556701030927,0.8333333333333334,0.3305785123966942,48.0
micro avg,0.3920570264765784,0.7375478927203065,0.511968085106383,522.0
macro avg,0.3506822810386162,0.7313443378747295,0.44723805210113554,522.0
weighted avg,0.4632878090612329,0.7375478927203065,0.5536390105798207,522.0
samples avg,0.44072504708097926,0.768126177024482,0.5281207963411353,522.0
