,precision,recall,f1-score,support
GLS,0.6457399103139013,0.8135593220338984,0.72,177.0
NCLB,0.5486725663716814,0.6595744680851063,0.5990338164251208,94.0
PLS,0.3879310344827586,0.6428571428571429,0.4838709677419355,70.0
CR,0.24358974358974358,0.926829268292683,0.38578680203045684,41.0
SR,0.023529411764705882,1.0,0.04597701149425287,4.0
NoFoliarSymptoms,0.4126984126984127,0.6666666666666666,0.5098039215686274,39.0
Other,0.2356687898089172,0.7551020408163265,0.3592233009708738,49.0
UnidentifiedDisease,0.192090395480226,0.7083333333333334,0.3022222222222222,48.0
micro avg,0.33191489361702126,0.7471264367816092,0.45963464938126103,522.0
macro avg,0.33624003306379335,0.7716152802606446,0.4257397553066862,522.0
weighted avg,0.4597145645430189,0.7471264367816092,0.5471499516676983,522.0
samples avg,0.3952313693839118,0.7721280602636535,0.489198278181329,522.0
