,precision,recall,f1-score,support
GLS,0.6571428571428571,0.7796610169491526,0.7131782945736435,177.0
NCLB,0.5036496350364964,0.7340425531914894,0.5974025974025974,94.0
PLS,0.36507936507936506,0.6571428571428571,0.46938775510204084,70.0
CR,0.30434782608695654,0.8536585365853658,0.44871794871794873,41.0
SR,0.038461538461538464,0.75,0.07317073170731707,4.0
NoFoliarSymptoms,0.4126984126984127,0.6666666666666666,0.5098039215686274,39.0
Other,0.25757575757575757,0.6938775510204082,0.3756906077348066,49.0
UnidentifiedDisease,0.20725388601036268,0.8333333333333334,0.33195020746887965,48.0
micro avg,0.3709677419354839,0.7490421455938697,0.49619289340101524,522.0
macro avg,0.3432761597614683,0.7460478143611591,0.4399127580344826,522.0
weighted avg,0.46074645734028913,0.7490421455938697,0.5520315453170024,522.0
samples avg,0.4305084745762712,0.7768361581920904,0.5208053089409022,522.0
