,precision,recall,f1-score,support
GLS,0.6125,0.8305084745762712,0.7050359712230215,177.0
NCLB,0.5284552845528455,0.6914893617021277,0.5990783410138248,94.0
PLS,0.39622641509433965,0.6,0.4772727272727273,70.0
CR,0.28346456692913385,0.8780487804878049,0.42857142857142855,41.0
SR,0.021739130434782608,0.75,0.04225352112676056,4.0
NoFoliarSymptoms,0.36231884057971014,0.6410256410256411,0.46296296296296297,39.0
Other,0.2589928057553957,0.7346938775510204,0.3829787234042553,49.0
UnidentifiedDisease,0.2155688622754491,0.75,0.33488372093023255,48.0
micro avg,0.35166816952209196,0.7471264367816092,0.47823421213979156,522.0
macro avg,0.3349082382027071,0.7344707669178581,0.4291296745631517,522.0
weighted avg,0.4496178874027768,0.7471264367816092,0.5462647435513719,522.0
samples avg,0.41785714285714287,0.7693032015065915,0.505598152632051,522.0
