,precision,recall,f1-score,support
GLS,0.6359447004608295,0.7796610169491526,0.700507614213198,177.0
NCLB,0.6292134831460674,0.5957446808510638,0.6120218579234973,94.0
PLS,0.37168141592920356,0.6,0.45901639344262296,70.0
CR,0.21511627906976744,0.9024390243902439,0.3474178403755869,41.0
SR,0.02727272727272727,0.75,0.05263157894736842,4.0
NoFoliarSymptoms,0.3611111111111111,0.6666666666666666,0.46846846846846846,39.0
Other,0.30434782608695654,0.7142857142857143,0.4268292682926829,49.0
UnidentifiedDisease,0.20710059171597633,0.7291666666666666,0.3225806451612903,48.0
micro avg,0.3519394512771996,0.7126436781609196,0.47118429385687144,522.0
macro avg,0.3439735168490799,0.7172454712261884,0.4236842083530894,522.0
weighted avg,0.4704828392284557,0.7126436781609196,0.5417135690748479,522.0
samples avg,0.4025961797148238,0.7431732580037665,0.4929064657878217,522.0
