,precision,recall,f1-score,support
GLS,0.6171171171171171,0.7740112994350282,0.6867167919799498,177.0
NCLB,0.5806451612903226,0.574468085106383,0.5775401069518716,94.0
PLS,0.39325842696629215,0.5,0.44025157232704404,70.0
CR,0.23076923076923078,0.8780487804878049,0.36548223350253806,41.0
SR,0.03896103896103896,0.75,0.07407407407407407,4.0
NoFoliarSymptoms,0.3076923076923077,0.717948717948718,0.4307692307692308,39.0
Other,0.25,0.6122448979591837,0.35502958579881655,49.0
UnidentifiedDisease,0.20958083832335328,0.7291666666666666,0.32558139534883723,48.0
micro avg,0.3527093596059113,0.685823754789272,0.46584255042290174,522.0
macro avg,0.32850301513995783,0.6919860559504731,0.40693062384404527,522.0
weighted avg,0.4507006276543373,0.685823754789272,0.5206143234628481,522.0
samples avg,0.4078154425612053,0.7236346516007534,0.4906308851224105,522.0
